id,original,team,surface,pronunciation,type,org_id,image,image_page
25,相羽欣厚,巨人-南海-阪神,相羽欣厚,アイバヨシヒロ,full,25,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_1ce2f78f4d.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_1ce2f78f4d.svg
25,相羽欣厚,巨人-南海-阪神,欣厚,ヨシヒロ,given,25,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_1ce2f78f4d.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_1ce2f78f4d.svg
26,相原和友,楽天,相原,アイハラ,family,26,http://commons.wikimedia.org/wiki/Special:FilePath/K_aihara20160304.jpg,https://commons.wikimedia.org/wiki/File:K_aihara20160304.jpg
26,相原和友,楽天,相原和友,アイハラカズトモ,full,26,http://commons.wikimedia.org/wiki/Special:FilePath/K_aihara20160304.jpg,https://commons.wikimedia.org/wiki/File:K_aihara20160304.jpg
26,相原和友,楽天,和友,カズトモ,given,26,http://commons.wikimedia.org/wiki/Special:FilePath/K_aihara20160304.jpg,https://commons.wikimedia.org/wiki/File:K_aihara20160304.jpg
27,相原勝幸,ロッテ,相原,アイハラ,family,27,http://commons.wikimedia.org/wiki/Special:FilePath/LM-Katsuyuki-Aihara.jpg,https://commons.wikimedia.org/wiki/File:LM-Katsuyuki-Aihara.jpg
27,相原勝幸,ロッテ,相原勝幸,アイハラカツユキ,full,27,http://commons.wikimedia.org/wiki/Special:FilePath/LM-Katsuyuki-Aihara.jpg,https://commons.wikimedia.org/wiki/File:LM-Katsuyuki-Aihara.jpg
27,相原勝幸,ロッテ,勝幸,カツユキ,given,27,http://commons.wikimedia.org/wiki/Special:FilePath/LM-Katsuyuki-Aihara.jpg,https://commons.wikimedia.org/wiki/File:LM-Katsuyuki-Aihara.jpg
28,相原輝夫(中村輝夫),金鯱,相原,アイハラ,family,28,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_74f47120ea.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_74f47120ea.svg
28,相原輝夫(中村輝夫),金鯱,相原輝夫,アイハラテルオ,full,28,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_74f47120ea.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_74f47120ea.svg
28,相原輝夫(中村輝夫),金鯱,輝夫,テルオ,given,28,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_74f47120ea.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_74f47120ea.svg
28,中村輝夫(相原輝夫),金鯱,中村,ナカムラ,family,5276,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_37473c905a.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_37473c905a.svg
28,中村輝夫(相原輝夫),金鯱,中村輝夫,ナカムラテルオ,full,5276,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_37473c905a.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_37473c905a.svg
28,中村輝夫(相原輝夫),金鯱,輝夫,テルオ,given,5276,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_37473c905a.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_37473c905a.svg
29,相原守,国鉄,相原,アイハラ,family,29,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_19205b07e8.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_19205b07e8.svg
29,相原守,国鉄,相原守,アイハラマモル,full,29,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_19205b07e8.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_19205b07e8.svg
